title,production_date,runtime_minutes,director,average_rating,num_votes,approval_index,prod_budget,domestic_gross,worldwide_gross,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,news,romance,sci-fi,sport,thriller,war,western
The Last Black Man in San Francisco,1559865600,121.0,774,7.3,20071.0,5.189219888711656,3000000,4515719,4637842,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whipped,967766400,82.0,1353,4.5,4220.0,2.6319576184481788,3000000,4142507,4142507,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Please Give,1272585600,87.0,1256,6.6,11393.0,4.404000762325575,3000000,4033574,4566662,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy Wonka & the Chocolate Factory,47088000,100.0,1133,7.8,205725.0,6.8892591456381975,3000000,4000000,4065791,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Warlock: The Armageddon,748828800,98.0,92,5.4,6317.0,3.3449916552134127,3000000,3902679,3902679,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8 Heads in a Duffel Bag,861321600,95.0,1733,5.4,10693.0,3.554111396324044,3000000,3602884,4002884,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Days of Heaven,274492800,94.0,1680,7.8,59217.0,6.174581038775283,3000000,3446749,3660880,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Compadres,1459382400,101.0,465,4.8,1091.0,2.338475612232875,3000000,3127773,7445044,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawbreaker,919382400,86.0,330,5.6,27191.0,4.075165123838892,3000000,3076820,3076820,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Basquiat,839548800,107.0,908,6.9,21143.0,4.924071017062861,3000000,2962051,2962051,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Happiness,908496000,134.0,1718,7.7,71356.0,6.199371721615725,3000000,2746453,5746453,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm in Love with a Church Girl,1382054400,118.0,1630,4.2,1961.0,2.2108817768506834,3000000,2387730,2503392,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tusk,1411084800,102.0,966,5.3,56606.0,4.135711619683021,3000000,1821983,1887554,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Wall,1494547200,88.0,431,6.2,28049.0,4.5400861526079375,3000000,1803064,4495262,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Elephant,1066953600,81.0,596,7.1,92998.0,5.844408922759437,3000000,1266955,10051516,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Oldboy,1069372800,120.0,1294,8.4,585184.0,8.075423605526623,3000000,707391,6219559,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hobo with a Shotgun,1304640000,86.0,693,6.1,47017.0,4.696567313778484,3000000,703372,834953,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Creature,1315526400,93.0,514,3.6,3019.0,1.990492728649425,3000000,508714,533235,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bachelorette,1346889600,87.0,1015,5.3,47639.0,4.068459924087277,3000000,446770,12577401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Bounce Back,1481241600,104.0,1826,5.2,715.0,2.382664027713847,3000000,321910,421404,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Freeway,840758400,102.0,1115,6.8,29383.0,5.015453043892711,3000000,295493,295493,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Love's Abiding Joy,1160092800,87.0,1166,6.8,1945.0,3.657032399277336,3000000,252726,252726,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chain Letter,1285891200,88.0,398,4.1,5507.0,2.466584480065685,3000000,205842,1022453,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
My Big Fat Independent Movie,1128038400,80.0,1371,3.2,1406.0,1.5747611795162866,3000000,4655,4655,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Harvey Girls,-755913600,102.0,566,7.0,4478.0,4.197956900464658,2931000,4100000,4100000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Pocketful of Miracles,-253584000,136.0,502,7.1,7389.0,4.521428785632916,2900000,5000000,5000000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Young Frankenstein,156297600,106.0,1130,8.0,160754.0,6.924099785867549,2800000,86300000,86300489,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Omen,204508800,111.0,1414,7.5,122505.0,6.333163676976062,2800000,48570885,48577431,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Hustle & Flow,1121990400,116.0,287,7.3,41362.0,5.57758840652324,2800000,22202809,23591783,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Friday the 13th Part VII: The New Blood,579484800,88.0,792,5.2,38679.0,3.909494571389149,2800000,19170001,19170001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Midnight Sun,1521676800,91.0,1549,6.6,32544.0,4.913678980829242,2800000,9561064,26952508,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Phoenix Forgotten,1492732800,87.0,914,5.3,6549.0,3.294670717021766,2800000,3600146,3697729,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
The Black Stallion,308966400,118.0,212,7.4,13174.0,5.032878341828834,2700000,37799643,37799643,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ulee's Gold,866160000,113.0,1769,7.0,7291.0,4.449013478471843,2700000,9054736,15600000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indivisible,1540512000,119.0,346,5.8,1287.0,2.9236272987906915,2700000,3511417,3589633,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Donovan's Reef,-206928000,109.0,802,6.7,9231.0,4.368992460961538,2686000,6600000,6600000,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A Guy Named Joe,-821232000,120.0,1768,6.9,2671.0,3.873778700721386,2627000,5363000,5363000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Blazing Saddles,129427200,93.0,1130,7.7,142116.0,6.589688266658071,2600000,119500000,119500000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Maurice,536457600,140.0,675,7.7,20779.0,5.500423968188036,2600000,3147950,3305831,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Riding Giants,1089331200,105.0,1592,7.8,4562.0,4.703455001335729,2600000,2276368,3292333,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Bonnie and Clyde,-75340800,111.0,105,7.7,114873.0,6.469121732787681,2500000,50700000,50700128,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Haunted House,1357862400,86.0,1188,5.0,47679.0,3.8310164841582472,2500000,40041683,59922558,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Garden State,1090972800,102.0,1827,7.4,218287.0,6.561473449866506,2500000,26782316,36028802,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
That Thing You Do!,844387200,108.0,1725,6.9,70135.0,5.532822559405343,2500000,25857416,34557416,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Halloween II,373248000,92.0,1432,6.5,94358.0,5.346317837798848,2500000,25533818,25533818,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Religulous,1222819200,101.0,993,7.6,59454.0,6.01511168337363,2500000,13011160,13881317,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
